SPID,date,% Paper,% Plastic
7444,2020-04-18,"1,05","0,4"
7444,2020-04-19,"0,6666666666666666","0,3333333333333333"
7444,2020-04-20,"0,9","0,9"
7444,2020-04-21,"1,0","0,0"
7444,2020-04-22,"1,0","1,0"
7444,2020-04-23,"1,0","0,0"
7444,2020-04-24,"1,0","0,7"
7444,2020-04-25,"1,0","0,5"
7444,2020-04-26,"0,7000000000000001","0,3333333333333333"
7444,2020-04-27,"0,6","1,0"
7444,2020-04-28,"1,1","0,0"
7444,2020-04-29,"1,1","1,0"
7444,2020-04-30,"1,1","0,0"
7444,2020-05-01,"1,0","1,0"
7444,2020-05-02,"0,9","0,5"
7444,2020-05-03,"0,6666666666666666","0,3333333333333333"
7444,2020-05-04,"1,0","1,0"
7444,2020-05-05,"1,1","0,0"
7444,2020-05-06,"1,1","0,9"
7444,2020-05-07,"1,0","0,0"
7444,2020-05-08,"0,4","0,45"
7444,2020-05-09,"1,0","0,4"
7444,2020-05-10,"0,6666666666666666","0,3333333333333333"
7444,2020-05-11,"0,9","0,6"
7444,2020-05-12,"1,0","0,0"
7444,2020-05-13,"1,0","1,0"
7444,2020-05-14,"1,0","0,0"
7444,2020-05-15,"0,5","0,5"
7444,2020-05-16,"1,0","0,5"
7444,2020-05-17,"0,4666666666666666","0,3333333333333333"
7444,2020-05-18,"1,0","0,6"
7444,2020-05-19,"1,0","0,0"
7444,2020-05-20,"1,1","1,0"
7444,2020-05-21,"1,0","0,0"
7444,2020-05-22,"0,4","0,5"
7444,2020-05-23,"0,85","0,5"
7444,2020-05-24,"0,6666666666666666","0,3333333333333333"
7444,2020-05-25,"1,0","0,8"
7444,2020-05-26,"1,0","0,0"
7444,2020-05-27,"0,4","0,4"
7444,2020-05-28,"1,1","0,0"
7444,2020-05-29,"0,55","0,5"
7444,2020-05-30,"1,05","0,5"
7444,2020-05-31,"1,0","0,5"
7444,2020-06-01,"0,55","0,3"
7444,2020-06-02,"1,1","0,0"
7444,2020-06-03,"1,0","1,0"
7444,2020-06-04,"1,0","0,0"
7444,2020-06-05,"1,1","0,8"
7444,2020-06-06,"0,5","0,3333333333333333"
7444,2020-06-07,"0,43333333333333335","0,3333333333333333"
7444,2020-06-08,"0,3","0,1"
7444,2020-06-09,"1,0","0,0"
7444,2020-06-10,"1,0","1,0"
7444,2020-06-11,"1,0","0,0"
7444,2020-06-12,"0,55","0,4"
7444,2020-06-13,"0,7000000000000001","0,3333333333333333"
7444,2020-06-14,"0,7000000000000001","0,3333333333333333"
7444,2020-06-15,"0,5","0,45"
7444,2020-06-16,"1,0","0,0"
7444,2020-06-17,"1,1","1,0"
7444,2020-06-18,"1,1","0,0"
7444,2020-06-19,"0,4","0,4"
7444,2020-06-20,"0,65","0,5"
7444,2020-06-21,"0,6666666666666666","0,3333333333333333"
7444,2020-06-22,"0,5","0,35"
7444,2020-06-23,"0,5","0,4"
7444,2020-06-24,"0,6","0,09999999999999999"
7444,2020-06-25,"1,1","0,0"
7444,2020-06-26,"0,43333333333333335","0,2333333333333333"
7444,2020-06-27,"1,0","0,5"
7444,2020-06-28,"0,6666666666666666","0,3333333333333333"
7444,2020-06-29,"0,9","0,3"
7444,2020-06-30,"1,0","0,0"
7444,2020-07-01,"0,6","0,26666666666666666"
7444,2020-07-02,"1,0","0,0"
7444,2020-07-03,"0,7","0,35"
7444,2020-07-04,"1,0","0,4"
7444,2020-07-05,"1,0","0,5"
7444,2020-07-06,"0,7","0,25"
7444,2020-07-07,"1,0","0,0"
7444,2020-07-08,"0,9","0,35"
7444,2020-07-09,"1,0","1,0"
7444,2020-07-10,"0,65","0,25"
7444,2020-07-11,"0,75","0,4"
7444,2020-07-12,"0,6666666666666666","0,26666666666666666"
7444,2020-07-13,"0,8500000000000001","0,25"
7444,2020-07-14,"1,0","0,0"
7444,2020-07-15,"0,8","0,4"
7444,2020-07-16,"0,9","0,0"
7444,2020-07-17,"0,65","0,3"
7444,2020-07-18,"0,7","0,5"
7444,2020-07-19,"0,6666666666666666","0,3333333333333333"
7444,2020-07-20,"0,5666666666666667","0,3333333333333333"
7444,2020-07-21,"1,1","0,8"
7444,2020-07-22,"0,65","0,4"
7444,2020-07-23,"1,0","0,6"
7444,2020-07-24,"0,3333333333333333","0,19999999999999998"
7444,2020-07-25,"0,65","0,5"
7444,2020-07-26,"0,6666666666666666","0,3333333333333333"
7444,2020-07-27,"0,3666666666666667","0,06666666666666667"
7444,2020-07-28,"1,0","0,0"
7444,2020-07-29,"0,5333333333333333","0,26666666666666666"
7444,2020-07-30,"1,0","1,0"
7444,2020-07-31,"0,6333333333333334","0,3333333333333333"
7444,2020-08-01,"0,9","0,5"
7444,2020-08-02,"0,6666666666666666","0,26666666666666666"
7444,2020-08-03,"0,43333333333333335","0,19999999999999998"
7444,2020-08-04,"1,0","0,0"
7444,2020-08-05,"0,4666666666666666","0,19999999999999998"
7444,2020-08-06,"1,0","0,0"
7444,2020-08-07,"0,35","0,375"
7444,2020-08-08,"0,65","0,4"
7444,2020-08-09,"0,3","0,26666666666666666"
7444,2020-08-10,"0,6","0,26666666666666666"
7444,2020-08-11,"1,0","0,0"
